iteration,pop_best_eval,mean_eval,median_eval,best_eval,worst_eval,total_interaction_count,total_episode_count
1,-7.704308032989502,-123.82009887695312,-127.14836120605469,14.59445571899414,-1098.289794921875,8839,125
2,17.469472885131836,-304.477294921875,-328.3318786621094,17.469472885131836,-1789.9833984375,15045,200
3,-100.88424682617188,-267.66546630859375,-172.31900024414062,17.469472885131836,-1919.435302734375,20972,275
4,-9.25667667388916,-270.68865966796875,-179.56822204589844,17.469472885131836,-1919.435302734375,27087,350
5,29.0739688873291,-261.6758117675781,-189.91575622558594,29.0739688873291,-2708.28564453125,33173,425
6,2.478548526763916,-250.3064422607422,-192.28802490234375,29.0739688873291,-4113.46533203125,39365,500
7,-88.10472106933594,-239.08375549316406,-183.5102081298828,29.0739688873291,-4113.46533203125,44501,575
8,-36.77169418334961,-201.49737548828125,-144.9115447998047,29.0739688873291,-4113.46533203125,49794,650
9,23.640796661376953,-181.6549835205078,-147.4725341796875,29.0739688873291,-4113.46533203125,55414,725
10,-12.34128475189209,-209.72509765625,-152.3644256591797,29.0739688873291,-4113.46533203125,61383,800
11,-34.23000717163086,-203.2520294189453,-152.59603881835938,29.0739688873291,-4113.46533203125,66968,875
12,-14.878299713134766,-161.10614013671875,-149.25778198242188,29.0739688873291,-4113.46533203125,72592,950
13,-14.647271156311035,-176.66815185546875,-145.31785583496094,29.0739688873291,-4113.46533203125,78117,1025
14,-3.5938055515289307,-147.7467803955078,-134.68983459472656,29.0739688873291,-4113.46533203125,83604,1100
15,-1.644297480583191,-149.70584106445312,-149.4635467529297,29.0739688873291,-4113.46533203125,89069,1175
16,25.62006378173828,-128.18841552734375,-135.15289306640625,29.0739688873291,-4113.46533203125,95036,1250
17,-3.4486117362976074,-139.07484436035156,-134.0048370361328,29.0739688873291,-4113.46533203125,100320,1325
18,13.551841735839844,-129.58563232421875,-136.63560485839844,29.0739688873291,-4113.46533203125,105855,1400
19,-20.028594970703125,-125.80340576171875,-133.73788452148438,29.0739688873291,-4113.46533203125,111920,1475
20,-23.427337646484375,-115.92102813720703,-116.50140380859375,29.0739688873291,-4113.46533203125,117381,1550
21,2.453458070755005,-125.16524505615234,-129.13136291503906,29.0739688873291,-4113.46533203125,122851,1625
22,4.7924418449401855,-121.64912414550781,-127.92340850830078,29.0739688873291,-4113.46533203125,128268,1700
23,12.341205596923828,-110.9348373413086,-122.77275848388672,29.0739688873291,-4113.46533203125,133743,1775
24,15.801591873168945,-122.10741424560547,-133.48617553710938,29.0739688873291,-4113.46533203125,139420,1850
25,0.3424427807331085,-121.07821655273438,-129.279052734375,29.0739688873291,-4113.46533203125,144969,1925
26,-0.1361195594072342,-119.94509887695312,-127.52135467529297,29.0739688873291,-4113.46533203125,150584,2000
27,23.31987762451172,-112.36996459960938,-121.01344299316406,29.0739688873291,-4113.46533203125,156771,2075
28,-5.285426139831543,-114.0975570678711,-122.40691375732422,29.0739688873291,-4113.46533203125,162281,2150
29,24.590890884399414,-120.2773208618164,-124.08686828613281,29.0739688873291,-4113.46533203125,167783,2225
30,-4.8898444175720215,-120.94071197509766,-125.50483703613281,29.0739688873291,-4113.46533203125,173485,2300
