iteration,pop_best_eval,mean_eval,median_eval,best_eval,worst_eval,total_interaction_count,total_episode_count
1,20.566431045532227,-294.2015380859375,-308.4164123535156,20.566431045532227,-2724.74609375,21220,251
2,9.428971290588379,-268.473876953125,-219.7753448486328,20.566431045532227,-2724.74609375,35586,402
3,-13.238919258117676,-253.12257385253906,-214.61036682128906,20.566431045532227,-3046.598388671875,48140,553
4,25.898372650146484,-222.2900848388672,-185.4678955078125,25.898372650146484,-3046.598388671875,60410,704
5,-11.40633487701416,-192.09347534179688,-160.3638916015625,25.898372650146484,-3046.598388671875,72001,855
6,45.9314079284668,-139.6820831298828,-139.59039306640625,45.9314079284668,-3046.598388671875,83811,1006
7,16.9597225189209,-139.38388061523438,-136.62857055664062,45.9314079284668,-3046.598388671875,96360,1157
8,204.67245483398438,-121.48765563964844,-132.19647216796875,204.67245483398438,-3046.598388671875,108316,1308
9,42.704254150390625,-128.3835906982422,-137.56663513183594,204.67245483398438,-3046.598388671875,120801,1459
10,38.25023651123047,-117.45771789550781,-126.13566589355469,204.67245483398438,-4753.50537109375,133764,1610
11,16.702810287475586,-111.10931396484375,-124.21578979492188,204.67245483398438,-5732.35791015625,146106,1761
12,37.16801834106445,-113.52871704101562,-125.30714416503906,204.67245483398438,-5732.35791015625,157665,1912
13,46.59218215942383,-107.05602264404297,-118.598388671875,204.67245483398438,-5732.35791015625,169068,2063
14,234.19747924804688,-111.99999237060547,-128.17205810546875,234.19747924804688,-5732.35791015625,180793,2214
15,47.13547134399414,-107.87545776367188,-122.3766098022461,234.19747924804688,-5732.35791015625,192525,2365
16,28.433629989624023,-105.98269653320312,-119.18995666503906,234.19747924804688,-5732.35791015625,204354,2516
17,34.27725601196289,-110.88432312011719,-124.98888397216797,234.19747924804688,-5732.35791015625,216434,2667
18,66.19490051269531,-110.06402587890625,-119.4017562866211,234.19747924804688,-5732.35791015625,228977,2818
19,231.20077514648438,-107.11365509033203,-125.12411499023438,234.19747924804688,-5732.35791015625,241482,2969
20,51.01820373535156,-103.62450408935547,-120.01852416992188,234.19747924804688,-5732.35791015625,253079,3120
21,21.20596694946289,-102.62144470214844,-115.71621704101562,234.19747924804688,-5732.35791015625,265568,3271
22,209.01425170898438,-113.83687591552734,-123.0782470703125,234.19747924804688,-5732.35791015625,276997,3422
23,40.40064239501953,-108.11311340332031,-120.44353485107422,234.19747924804688,-5732.35791015625,289048,3573
24,18.44622039794922,-113.31448364257812,-122.13628387451172,234.19747924804688,-5732.35791015625,300780,3724
25,260.48382568359375,-93.7940902709961,-115.33406829833984,260.48382568359375,-5732.35791015625,312724,3875
26,40.21347427368164,-107.65189361572266,-116.51991271972656,260.48382568359375,-5732.35791015625,324423,4026
27,44.22477722167969,-108.00349426269531,-122.53709411621094,260.48382568359375,-5732.35791015625,336090,4177
28,269.6429748535156,-101.5296401977539,-114.461669921875,269.6429748535156,-5732.35791015625,348389,4328
29,40.131065368652344,-103.31118774414062,-116.39203643798828,269.6429748535156,-5732.35791015625,359769,4479
30,57.973594665527344,-113.16572570800781,-126.04673767089844,269.6429748535156,-5732.35791015625,372425,4630
31,249.4019012451172,-99.94754791259766,-117.8266830444336,269.6429748535156,-5732.35791015625,384063,4781
32,56.50398254394531,-102.84259796142578,-114.1588134765625,269.6429748535156,-5732.35791015625,396925,4932
33,254.42005920410156,-89.69255828857422,-103.08649444580078,269.6429748535156,-5732.35791015625,408858,5083
34,262.8854064941406,-90.38246154785156,-108.82403564453125,269.6429748535156,-5732.35791015625,421300,5234
35,291.9429931640625,-84.73986053466797,-101.65003967285156,291.9429931640625,-5732.35791015625,434101,5385
36,230.2079315185547,-86.16207122802734,-102.3487548828125,291.9429931640625,-5732.35791015625,447002,5536
37,254.793701171875,-99.25425720214844,-111.59453582763672,291.9429931640625,-5732.35791015625,460427,5687
38,275.2409362792969,-74.76248931884766,-96.7986831665039,291.9429931640625,-5732.35791015625,473796,5838
39,282.0792541503906,-71.19926452636719,-91.22651672363281,291.9429931640625,-5732.35791015625,488076,5989
40,283.8085021972656,-61.177101135253906,-74.24671173095703,291.9429931640625,-5732.35791015625,502009,6140
41,281.5840759277344,-66.52326965332031,-83.65489959716797,291.9429931640625,-5732.35791015625,515748,6291
42,234.82652282714844,-83.51008605957031,-94.65227508544922,291.9429931640625,-5732.35791015625,530422,6442
43,284.59759521484375,-76.46054077148438,-91.59730529785156,291.9429931640625,-5732.35791015625,544837,6593
44,235.9237060546875,-71.39019775390625,-89.10812377929688,291.9429931640625,-5732.35791015625,559022,6744
45,268.9288024902344,-69.8113784790039,-88.44021606445312,291.9429931640625,-5732.35791015625,573069,6895
46,272.33258056640625,-65.55603790283203,-87.9391860961914,291.9429931640625,-5732.35791015625,586116,7046
47,55.05020523071289,-77.19515991210938,-90.90618133544922,291.9429931640625,-5732.35791015625,599184,7197
48,214.175537109375,-78.2216567993164,-89.40699768066406,291.9429931640625,-5732.35791015625,613159,7348
49,51.57897186279297,-95.94119262695312,-108.64794921875,291.9429931640625,-5732.35791015625,626919,7499
50,269.8722229003906,-59.7478141784668,-76.60986328125,291.9429931640625,-5732.35791015625,640812,7650
51,266.2879638671875,-76.34040069580078,-95.66378784179688,291.9429931640625,-5732.35791015625,654121,7801
52,284.6227111816406,-76.10575103759766,-103.4873275756836,291.9429931640625,-5732.35791015625,668113,7952
53,234.30184936523438,-85.219970703125,-103.94034576416016,291.9429931640625,-5732.35791015625,682028,8103
54,145.0645751953125,-90.96220397949219,-111.0173110961914,291.9429931640625,-5732.35791015625,697219,8254
55,250.07142639160156,-74.35287475585938,-91.4078598022461,291.9429931640625,-5732.35791015625,711709,8405
56,250.2510986328125,-80.84724426269531,-99.8416519165039,291.9429931640625,-5732.35791015625,724781,8556
57,282.2578125,-70.77567291259766,-74.09403991699219,291.9429931640625,-5732.35791015625,738686,8707
58,287.03643798828125,-54.25967788696289,-78.26395416259766,291.9429931640625,-5732.35791015625,752915,8858
